title,year,duration,genre,classif,release,rating,users_rated,poster_img_url,movie_url,budget,op_weekend_US,gross_US,gross_worldwide,review
The Shawshank Redemption ,1994,2h 22min,Drama,R,"14 October 1994 (USA)
",9.3,"2,354,930","https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1,"$25,000,000","$727,327,","$28,699,976","$28,817,291","Can Hollywood, usually creating things for entertainment purposes only, create art? To create something of this nature, a director must approach it in a most meticulous manner, due to the delicacy of the process. Such a daunting task requires an extremely capable artist with an undeniable managerial capacity and an acutely developed awareness of each element of art in their films, the most prominent; music, visuals, script, and acting. These elements, each equally important, must succeed independently, yet still form a harmonious union, because this mixture determines the fate of the artist's opus. Though already well known amongst his colleagues for his notable skills at writing and directing, Frank Darabont emerges with his feature film directorial debut, The Shawshank Redemption. Proving himself already a master of the craft, Darabont managed to create one of the most recognizable independent releases in the history of Hollywood. The Shawshank Redemption defines a genre, defies the odds, compels the emotions, and brings an era of artistically influential films back to Hollywood."
American History X ,1998,1h 59min,Drama,R,"20 November 1998 (USA)
",8.5,"1,038,542","https://m.media-amazon.com/images/M/MV5BZjA0MTM4MTQtNzY5MC00NzY3LWI1ZTgtYzcxMjkyMzU4MDZiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0120586/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_38,"$20,000,000","$156,076,","$6,719,864","$23,875,127","A good friend of mine suggested this film, and I really didnt know what to expect going in, but after this film was over, I sat in stunned silence. I knew that racism was horrible, but I found through this film that it does not come without a terrible price..the loss of love, friends, family...and the realization that everything that you believed to be true isnt always the way things are. Edward Norton's performance takes the viewer through this journey, and its not a pretty one. He goes from an bright young man, to a vengeful bigot, to a remorseful excon with a brothers life in jeopardy, and you feel as though you are looking in on someones life in the course of 2 hrs. All of the acting in this film is first rate, and the ending wasnt quite as predictable as others might have you believe...it is quite shocking, as is much of the film. It causes quite a debate on the way people view others whos skin color is not the same. As Dr. King said, judge me not on the color of my skin, but on the content of my character. I live with racism, because I am a black man living in America...it exists, but if we educate ourselves like the main character in AHX, it wont stay around for much longer. Hopefully it wont be too late, as it was for him. Peace and Love, JB33 Rating 5 stars"
The Intouchables ,2011,1h 52min,Biography,R,"24 August 2012 (Mexico)
",8.5,"765,303","https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt1675434/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_44,"EUR9,500,000","$103,507,","$10,198,820","$426,588,510","Do not look at this through the prism of ""Foreign Films"". You'd be wasting your time and miss something far too important."
City Lights ,1931,1h 27min,Comedy,G,"7 March 1931 (USA)
",8.5,"168,734","https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0021749/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_42,"$1,500,000","$9,102,","$19,181","$46,008","Film has become a medium that is strongly influenced by nostalgia. Old films have become journeys to the past; ways to visit times and people that no longer are. Since film is an art that is based on the innovation of previous works, it has an element of nostalgia in its foundation. We look on the old to find what elements should make up the new. In City Lights, and other silent works of film, a passion emerges that is uniquely honest and sincere. While watching the film, I was impressed that Chaplin really did love the story, the sets, the crew; the whole project. While this may not have been the complete reality, it felt that way, and thus made the film more enjoyable. In silent films the audience is forced to be completely reliable on the visual elements of the film; there are no elaborate sound effects or dialogue to provoke an emotional response."
The Departed ,2006,2h 31min,Crime,R,"6 October 2006 (USA)
",8.5,"1,195,828","https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0407887/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_43,"$90,000,000","$26,887,467,","$132,384,315","$291,465,373",I have been a fan of
Modern Times ,1936,1h 27min,Comedy,G,"25 February 1936 (USA)
",8.5,"219,133","https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0027977/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_39,"$1,500,000","$35,809,","$163,577","$457,688","Charlie Chaplin's Modern Times (1936) is the final film to feature the great actor/director/writer's most easily recognizable incarnation: The Tramp. Here is a character that is so ingrained in the collective conscious of modern film audiences that many recognize him despite the fact that they have not seen a single Chaplin film. Indeed, several iconographic studies have labeled The Tramp (with his worn hat, distinctive mustache, dusty suit, cane, and trademark waddle) as the single most identifiable fictional image in history."
Psycho ,1960,1h 49min,Horror,R,"8 September 1960 (USA)
",8.5,"607,113","https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0054215/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_41,"$806,947",,"$32,000,000","$32,040,242","When you look up the phrase ""Horror Film"" in the dictionary .. a picture of Janet Leigh screaming in a shower should appear next to it. Undoubtedly, Psycho is the greatest horror film ever made, bar-none. The story is incredible. The acting is near perfection. The cinematography is godly. The soundtrack is perfect. It's hard to find anything wrong with Psycho. Perhaps the only imperfection I can find with Psycho is the inability to stand the test of time. One of the reasons the shower scene has become so notorious is that it's not only filmed to perfection, but because the elements of sexuality and murder are so surreal. In 1960, seeing a nude women being murdered in a shower was something that no-one had experienced yet, and was quite shocking. Nowadays, seeing Jason double-spearing two lovers having sex is nothing uncommon. I envy those who experienced Psycho in 1960 in the theaters .. those experienced the full terror of Psycho."
Gladiator ,2000,2h 35min,Action,R,"5 May 2000 (USA)
",8.5,"1,347,540","https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0172495/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_40,"$103,000,000","$34,819,017,","$187,705,427","$465,364,545","How good is Russell Crowe though, easily one of my favourite actors. Joaquin Phoenix play the role of a little weasel very well. Absolute classic of a film."
Terminator 2: Judgment Day ,1991,2h 17min,Action,R,"3 July 1991 (USA)
",8.5,"999,192","https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0103064/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_37,"$102,000,000","$31,765,506,","$205,881,154","$520,881,154","Disclaimer: If you are a viewer that mainly prefers arthouse-type movies, then you might as well ignore this review. In addition, if you're not able to take a few sci-fi leaps of faith, ignore this review, as well. We'll both be better off."
The Pianist ,2002,2h 30min,Biography,R,"28 March 2003 (USA)
",8.5,"734,086","https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY268_CR6,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0253474/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_35,"$35,000,000","$111,261,","$32,572,577","$120,072,577","Man, I can not get this film out of my head. It is so rare that a movie can affect me the way ""The Pianst"" did. The last movie that did that was ""Casino"". I was really tired when I was watching the movie. It was almost midnight, so I was thinking that I'll start watching and I'll finish it in the morning. Did I? No, indeed I did not stop watching. I couldn't stop it. I just wanted to see what would happen next. I cried during ""Schindler's List"", I sobbed in this film. Everything that happens in this film is so sad. Adrien Brody does a remarkable job of acting in this film. I would very highly recommend this film. Especially if you are a history buff. Please, I think this film should be in the top 10 best films of all time."
Back to the Future ,1985,1h 56min,Adventure,PG,"3 July 1985 (USA)
",8.5,"1,063,583","https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0088763/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_36,"$19,000,000","$11,152,500,","$211,406,762","$381,109,762","Zemeckis's 'Back To The Future' trilogy has been a childhood favourite for a long time. Having revisited it today, brought me to a nostalgic state. The 80's saw a lot of excellent original fun 'young' films like 'Back To The Future' (of course), 'Better Off Dead', 'Heathers', 'The Breakfast Club' etc. What really made these films immensely enjoyable then, and classics today, is that they really reflected what it was like being a young person in the 80s. The movies themselves were well written, well executed, well acted and they cut straight to the point."
The Usual Suspects ,1995,1h 46min,Crime,R,"16 August 1995 (USA)
",8.5,"995,449","https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0114814/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_33,"$6,000,000","$645,363,","$23,341,568","$23,341,568","Out of the mind of Christorpher McQurrie comes this incredible story of a man in search of the devil. The film is called "" The Usual Suspects"" and what could be more appropriate than an unusual movie about five suspects who are anything but usual. The story originates with the only survivor of what the police conclude was a murderous and explosive drug deal gone bad. His name is Roger Kint (Kevin Spacey is perfect) also known as 'Verbal.' From the mouth of this innocent storytelling, con-artist comes the fantastic tale of how he and his fellow criminals, Stephen Baldwin, is Michael McManus, Benicio Del Toro is Fred Fenster and Kevin Pollak as Todd Hockney were originally assembled and then set-up. Beginning with a mix-up by law enforcement to put several guilty men together in the same line up, the tale proceeds cross country and culminates with a powerful, but mysterious kingpin by the name of Keyser Soze. It's through his attorney, Kobayashi (Pete Postlethwaite), the men learn they are marked for death unless they undertake a dangerous assignment. The center piece of the Unusual group is their leader, a remarkable individual named Dean Keaton (Gabriel Byrne, incredible performance). What transpires in this movie from moment to moment is a lesson in sleigh of hand. What we and the police Dave Kujan, (Chazz Palminteri) are told is not what we see. Conversely, what we see is not what we have been told. In the end, this film with it's haunting theme by John Ottman, is nothing short of incredible. A superb classic in both mystery and action entertainment, by Bryan Singer. A great film indeed. ****"
Hara-Kiri ,1962,2h 13min,Action,Not Rated,"4 August 1964 (USA)
",8.6,"42,793","https://m.media-amazon.com/images/M/MV5BYjBmYTQ1NjItZWU5MS00YjI0LTg2OTYtYmFkN2JkMmNiNWVkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY268_CR7,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0056058/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_32,,,,"$15,222","I have seen this movie numerous times (at least 10, probably many more), and enjoy it each time. The first couple of times I saw it was right after it came out. It did not have sub-titles, and as my Japanese is not very good, I made some assumptions about the characters, relationships, the plot,etc. When I saw it with sub-titles, I was surprised at how few incorrect assumptions I had made. That I made so few errors is no credit to me, but rather to how well the plot, character development, character relationships, and the overall movie were done."
The Lion King ,1994,1h 28min,Animation,G,"24 June 1994 (USA)
",8.5,"946,999","https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0110357/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_34,"$45,000,000","$1,586,753,","$422,783,777","$1,083,720,877","this was, and still is,a great movie I love it, and hope that everyone gets to experience it for themselves, I've watched it many times and it is always good no matter how many times you have seen it,the songs are great and so are all the characters and the story is incredible, great for all ages and I really recommend it to anyone who hasn't already watched it."
Tangerines ,2013,1h 27min,Drama,Not Rated,"17 April 2015 (USA)
",8.2,"40,943","https://m.media-amazon.com/images/M/MV5BMTgwNzA3MDQzOV5BMl5BanBnXkFtZTgwNTE5MDE5NDE@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt2991224/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250,"EUR650,000","$5,180,","$144,501","$1,024,132",Greetings from Lithuania.
Parasite ,2019,2h 12min,Comedy,R,"8 November 2019 (USA)
",8.6,"567,075","https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt6751668/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_30,"$11,400,000","$393,216,","$53,369,749","$258,829,406",This is a well written and well perfomed original film. With a lot of repetitive cinema these day i felt this was something new. I felt connected and engaged with the character throughout the film. There are several well directed tense moments throughout the film. A popular topic of class struggled well portrayed. Its always nice to see foreign language films having worldwide success.
The Battle of Algiers ,1966,2h 1min,Drama,Not Rated,"20 September 1967 (USA)
",8.1,"53,456","https://m.media-amazon.com/images/M/MV5BZWEzMGY4OTQtYTdmMy00M2QwLTliYTQtYWUzYzc3OTA5YzIwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY268_CR4,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0058946/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_248,"$800,000","$64,870,","$879,794","$964,028","As Algerian, I watched this movie 2 times a year for 20 years, this movie is a part of my story. It helped me to put imagines and sounds to stories I heard from my teachers, cousins, as my grand-parents and my parents still can't talk about that horrible war."
The Help ,2011,2h 26min,Drama,PG-13,"10 August 2011 (USA)
",8.0,"430,362","https://m.media-amazon.com/images/M/MV5BMTM5OTMyMjIxOV5BMl5BanBnXkFtZTcwNzU4MjIwNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt1454029/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_249,"$25,000,000","$26,044,590,","$169,708,112","$216,639,112","If this film were total fiction bearing no relation to reality, it would still be worth seeing for the fine acting and production values--even if some of the young white women approached ""Southern Gothic."""
Léon: The Professional ,1994,1h 50min,Action,R,"18 November 1994 (USA)
",8.5,"1,040,693","https://m.media-amazon.com/images/M/MV5BODllNWE0MmEtYjUwZi00ZjY3LThmNmQtZjZlMjI2YTZjYmQ0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0110413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_31,"FRF115,000,000","$5,306,558,","$19,501,238","$19,552,639","I am not always positive in my opinion. I am this time. First, the story. A professional killer falling in love with his acquaintance and breaking his own rules with positive consequences is depicted and done very well. How many times we have watched this kind of story in a movie? Not many times, I think, but certainly never with such charm or with such a fist shaken in front of taboos of mainstream society."
A Silent Voice: The Movie ,2016,2h 10min,Animation,Not Rated,"17 September 2016 (Japan)
",8.1,"49,313","https://m.media-amazon.com/images/M/MV5BZGRkOGMxYTUtZTBhYS00NzI3LWEzMDQtOWRhMmNjNjJjMzM4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY268_CR2,0,182,268_AL_.jpg",https://www.imdb.com/title/tt5323662/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_247,,"$121,732,","$644,391","$30,490,447","Another, fantastic, Brilliant work of art by Kyoto Animation alongside Trigger studio, MadHouse and of course Studio Ghibli and many more theses are the studios that lead the anime world, In my opinion. Koe no katachi or A silent voice is honestly one of my favorite anime alongside Spirited Away from the animation alone is brilliant, when I first saw the trailer I feel in love and knew it was going to be up there as one of my favorite but actually seeing, the story is well done, follows the Manga well, the Manga characters are explored a lot more in depth then the movie but the movie is like 2 hours 10 minutes long it would be difficult to add 7 volumes worth of content into that time frame but Kyoto Animations did the manga justice, I would recommend the Manga author/artist Oima Yoshitoki its a brilliant Manga I would beyond recommend the anime its doesn't matter what one you read/watch first the movie covers the main bulk of the manga. In my opinion one of the best movies, it has sensitive subject matters but deals with them with respect and such a beautiful message when you watch the films I would also recommend looking more into reviews and other views on it and theory's they really make you...Smile :)"
It Happened One Night ,1934,1h 45min,Comedy,Approved,"22 February 1934 (USA)
",8.1,"94,538","https://m.media-amazon.com/images/M/MV5BYzJmMWE5NjAtNWMyZS00NmFiLWIwMDgtZDE2NzczYWFhNzIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0025316/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_243,"$325,000",,,,"Frank Capra's idealistic outlook on life is evident in his films. From It Happened One Night to It's a Wonderful Life, Capra has always had a tendency to let the little guy rise above it all and beat the odds. It is no small wonder that Capra enjoyed much of his success during the Depression, when movies were used to truly pull an audience out of the despair of the 1930s into a world where anything can happen, where being a nice person is all you need to succeed. While the fact that the country was in the middle of the Depression was not completely ignored, an overly optimistic view on life was taken to counter the despair of everyday life."
The Invisible Guest ,2016,1h 46min,Crime,TV-MA,"24 March 2017 (Mexico)
",8.1,"144,376","https://m.media-amazon.com/images/M/MV5BMDk0YzAwYjktMWFiZi00Y2FmLWJmMmMtMzUyZDZmMmU5MjkzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY268_CR3,0,182,268_AL_.jpg",https://www.imdb.com/title/tt4857264/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_246,"EUR4,000,000",,,"$31,191,910","This is one of the best movies I've ever seen. The incredible performances of the main actress along with fantastic story line make this movie unforgettable. The end is really amazing, the movie keeps pointing you to wrong directions all the time, until eventually reveals the whole truth."
Drishyam ,2015,2h 43min,Crime,Not Rated,"31 July 2015 (USA)
",8.2,"71,223","https://m.media-amazon.com/images/M/MV5BYmJhZmJlYTItZmZlNy00MGY0LTg0ZGMtNWFkYWU5NTA1YTNhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY268_CR1,0,182,268_AL_.jpg",https://www.imdb.com/title/tt4430212/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_245,"$9,400,000",,,,"... and a really good replica but, the original Malayalam version just edges it for me, it's a bit more gritty, rugged and not quite as polished."
Portrait of a Lady on Fire ,2019,2h 2min,Drama,R,"14 February 2020 (USA)
",8.1,"65,133","https://m.media-amazon.com/images/M/MV5BNjgwNjkwOWYtYmM3My00NzI1LTk5OGItYWY0OTMyZTY4OTg2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY268_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt8613070/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_244,,"$67,344,","$3,759,854","$10,043,341",This movie is the most poignant piece of cinema ever written by and about lesbian women.
"Paris, Texas ",1984,2h 25min,Drama,R,"5 June 1986 (Mexico)
",8.1,"92,051","https://m.media-amazon.com/images/M/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.imdb.com/title/tt0087884/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_241,"GBP1,162,000",,"$2,181,987","$2,206,121","It might seem odd to call this an ""American"" film, as its director, Wim Wenders is a German film director, who , unlike his predecessors, Lang, Murnau, Pabst, Von Sternberg , and Billy Wilder, has chosen to remain aloof from the Hollywood film industry. But Paris Texas is as much an American film as Tocquevillle's ""Democracy in America"" is an American book. Sometimes it takes a foreigner ( In Wim Wenders' case, a foriegner who loves American music, American movies and American literature.) to look into the American soul. In this case,it helps that he is working with a great-and misunderstood- American writer, Sam Shephard, and a great-and under appreciated- American actor, Harry Dean Stanton. I can not begin to convey who poetic, how haunting, and how beautiful this film is, and how artfully it probes the American heart. The scene where Stanton confronts his wife, and tells what he did and why he did it, must rank among the supreme scenes, not just of film, but of human life. It echoed the great scenes of our literature, such as Ulysses meeting with Penelope, and the return of the prodigal son. In short, the only film which goes beyond it in the eighties is Raging Bull, and that is largely because of the volcanic power of Scorsese, that most self-crucifying of auteurs. in short, I would go so far as to say that Paris Texas is more than a ""ten'...Like Citizen Kane, like 2001, like Andrei Roublev, like Raging Bull , like the Searchers, like Pickpocket, Tokyo Story, Seven Samurai and Ordet,it is an ELEVEN. Sublime AND beautiful."
Drishyam ,2013,2h 40min,Crime,Not Rated,"19 December 2013 (India)
",8.4,"32,401","https://m.media-amazon.com/images/M/MV5BYmY3MzYwMGUtOWMxYS00OGVhLWFjNmUtYzlkNGVmY2ZkMjA3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY268_CR11,0,182,268_AL_.jpg",https://www.imdb.com/title/tt3417422/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=WSHJ4NC8DY8D66401B6X&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_242,"INR35,000,000",,,"$13,076,265","What make the movies Shawshank Redemption, Next Three Days and Ocean's Eleven great thrillers and what drew fans worldwide to the TV show Prison Break These are all stories about a master plan, a master plan to do the impossible and its flawless execution considering every little details. Except George Clooney's Daniel Ocean all the protagonists in above movies/series were simple men. A Banker, a School Teacher and an Architect with no criminal history. They lived their normal lives until they were forced to do the impossible. George Kutty's story go by the same logic. If I dare compare Dhrisham to Shawshank Redemption (which incidentally is my all-time favorite movie) not much need to be told about the quality of the script, the direction and the performances. Dhrishyam is Mollywoods entry to world class family thrillers. For the entire second half of the movie Malayalam Cinema was elevated to the class of Hollywood. We had several art films or those parallel movies to brag about, but until Dhrishyam not many thriller or family drama type movies of Malayalam could have been called world class. Though the last 15 minutes of the movie went very predictable, Jeethu has managed to keep his audience at the edge of the seat for more than an hour and except die hard Mohan Lal haters, who would be too intimidated and upset for all wrong reasons; it's hard to find anyone who may complain about the movie."
