product_link,image_front,image_side,colors,title,price
https://www.glassesshop.com/eyeglasses/fm1263,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5cf730e71cec3.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5cf730e7199e1.jpg",Black/Golden,"
                                    Rochester
                                ",$29.95
,,,,,
https://www.glassesshop.com/eyeglasses/fp2035,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201911/5dbfed02cae13.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201911/5dbfed0443ba6.jpg",Black,"
                                    Oberlin
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp2034,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202004/5e914ad60c331.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202004/5e914ad7729d1.jpg",Gray,"
                                    Oberlin
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp1979,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ff9961f92a.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ff99262ec8.jpg",Black,"
                                    Bronx
                                ",$12.95
,,,,,
https://www.glassesshop.com/eyeglasses/fp2033,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202004/5e914ace4f273.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202004/5e914acfb151e.jpg",Crystal,"
                                    Oberlin
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp2032,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202001/5e28f5edb550c.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202001/5e28f5ef67b87.jpg",Brown,"
                                    Oberlin
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fp2010,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202009/5f59eebb5cf10.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202009/5f59eebc9cbbb.jpg",Champagne,"
                                    Cooksville
                                ",$12.95
https://www.glassesshop.com/eyeglasses/fp1992,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202008/5f28fbc5c037b.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202003/5e818fa52dff3.jpg",Champagne,"
                                    Asheville
                                ",$12.95
https://www.glassesshop.com/eyeglasses/fp2013,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5db16a534b675.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5db16a54c2f90.jpg",Multicolor,"
                                    Rainbow
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fz1391,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ffa6c561dc.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202010/5f7d1f0680845.jpg",Floral,"
                                    Miami
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fz1382,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201908/5d4d19dba44c0.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201908/5d4d19da206dc.jpg",Petal Tortoise,"
                                    Lindsay
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fz1313,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5cf8ca4e9765e.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5cf8ca4e950be.jpg",Black/Blue,"
                                    Whittier
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fp1991,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ff9e77ae6e.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201910/5d9ff9e36f637.jpg",Crystal,"
                                    Asheville
                                ",$12.95
https://www.glassesshop.com/eyeglasses/ft0326,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201908/5d4d180867511.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201908/5d4d18062d09d.jpg",Golden,"
                                    Dubois
                                ",$49.95
https://www.glassesshop.com/eyeglasses/sup0711,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201907/5d268bd89da12.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202008/5f4763c0233ac.jpg",Rose Gold(Rose Gold mirror-coating),"
                                    Marlowe
                                ",$19.95
https://www.glassesshop.com/eyeglasses/sm0874,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201812/5c2436850e3f4.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202008/5f4763be732a6.jpg",Black,"
                                    Horatio
                                ",$19.95
https://www.glassesshop.com/eyeglasses/fz1370,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201907/5d268bd88f69a.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202010/5f8d5caa9f47f.jpg",Petal Tortoise,"
                                    Maltz
                                ",$29.95
https://www.glassesshop.com/eyeglasses/fm1389,"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5d03189638680.jpg","https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202003/5e818f7f62243.jpg",Black/Golden,"
                                    Celia
                                ",$19.95
