image_url,store,product,price,likes,comments
https://static.slickdealscdn.com/attachment/2/2/2/9/4/2/200x200/9882400.thumb,Amazon,Amazon.com: Micro Center Intel Core i7-10700K Desktop Processor 8 Cores up to 5.1 GHz Unlocked LGA1200 (Intel 400 Series chipset) $528.99 + free shipping $528.99,$528.99,5,6
https://static.slickdealscdn.com/attachment/2/7/9/0/0/5/8/6/200x200/9883111.thumb,Amazon,HP Sprocket Studio 4x6” Instant Photo Printer - $109.99 w/ FS,$109.99,1,1
https://static.slickdealscdn.com/attachment/1/5/2/8/3/9/6/200x200/9882544.thumb,Amazon,"VicTsing 2.4G Wireless Keyboard Mouse Combo, $14.39",$14.39,2,0
https://static.slickdealscdn.com/attachment/3/5/8/4/3/2/4/200x200/9882808.thumb,Amazon,"SanDisk 200GB Ultra microSDXC UHS-I Memory Card with Adapter - 100MB/s, C10, U1, Full HD, A1, Micro SD Card - SDSQUAR-200G-GN6MA - Amazon - $22.49",$22.49,2,2
https://static.slickdealscdn.com/attachment/3/5/8/4/3/2/4/200x200/9882769.thumb,Amazon,Samsung SSD 860 EVO 2TB 2.5 Inch SATA III Internal SSD (MZ-76E2T0B/AM) $209.99,$209.99,0,5
https://static.slickdealscdn.com/attachment/5/4/8/0/7/1/200x200/9881101.thumb,Newegg,Rosewill NEON K91 RGB Mechanical Gaming Keyboard with Kaihl Brown Switches + Free Rosewill Mouse for $54.99 + Free Shipping,$54.99,16,8
https://static.slickdealscdn.com/attachment/2/6/7/9/6/8/3/3/200x200/9881449.thumb,Amazon,"Apple 13"" M1 MacBook Pro (Space Gray, 8GB RAM, 256GB SSD) $1199 + Free ship","$1,199",7,22
https://static.slickdealscdn.com/attachment/2/7/8/5/7/2/0/3/200x200/9882604.thumb,Walmart,"Gateway 15.6"" FHD Ultra Slim Notebook, Intel Core i5-1035G1, 16GB RAM, 256GB SSD $409.00",$409,1,4
https://static.slickdealscdn.com/images/avatar-17.png,,,$99,7,2
https://static.slickdealscdn.com/attachment/4/8/2/3/7/7/200x200/9886645.thumb,Newegg,CORSAIR Crystal 570X RGB Tempered Glass ATX Mid Tower Case (White),$140,24,24
https://static.slickdealscdn.com/images/avatar/sd/08_200x200.png,,"HP Probook 445 G7 - Ryzen 5 4500U - 14"" 250nit 8G/256G Windows 10 Pro $699.99",$699.99,0,0
https://static.slickdealscdn.com/images/avatar-17.png,,Lenovo Gaming Tower 7i $700 off - Final price $1899+tax,"$1,899",0,2
https://static.slickdealscdn.com/attachment/1/0/1/9/6/1/8/200x200/9881008.thumb,Dell Home & Office,"Alienware Aurora R10 Desktop: Ryzen 5 5600X, 8GB DDR4, 1TB SATA HDD, RX 6800 XT, 1000W PSU, $1676 (or $1552) @ dell","$1,676",9,50
https://static.slickdealscdn.com/images/avatar-17.png,Amazon,Amazon XPG SX8200 Pro 2TB 3D NAND NVMe Gen3x4 PCIe M.2 2280 for $200 After Coupon Free Shipping,$200,0,6
https://static.slickdealscdn.com/images/avatar-17.png,Amazon,ASUS ROG Strix B550-F Gaming (WiFi 6 Version) Motherboard $182.99,$182.99,0,0
https://static.slickdealscdn.com/attachment/3/6/3/7/4/0/4/200x200/9880474.thumb,Best Buy,1000W Seasonic Gold+ PSU for $179.99,$179.99,14,30
https://static.slickdealscdn.com/attachment/avatar/7/4/6/1/8/0/17x17/avatar.static?dateline=1408593445,Best Buy,Best Buy - CORSAIR - Lighting Node PRO - Black - $50 - In store PU or FS,,1,0
https://static.slickdealscdn.com/attachment/5/4/8/0/7/1/200x200/9880777.thumb,Newegg,Corsair iCUE SP120 RGB Pro Performance 120mm Triple Fan Kit with Lighting Node Core | $69.99 AC + Free Shipping,,6,1
https://static.slickdealscdn.com/attachment/2/0/6/2/7/2/6/200x200/9881770.thumb,,"DOOM Eternal PC, $29.99 standard, $44.99 deluxe  - $29.99",$29.99,0,0
https://static.slickdealscdn.com/attachment/5/6/7/1/7/9/200x200/9879820.thumb,Office Depot and OfficeMax,"31.5"" Lenovo C32Q-20 2560x1440 75Hz IPS FreeSync LED Monitor",$180,38,69
https://static.slickdealscdn.com/attachment/5/4/8/0/7/1/200x200/9881005.thumb,Newegg,"Corsair Scimitar RGB Elite, MOBA/MMO Gaming Optical Mouse $59.99 + Free Shipping",$60,3,4
https://static.slickdealscdn.com/attachment/2/4/9/9/1/7/4/2/200x200/9881557.thumb,Newegg,Crucial P5 1TB 3D NAND NVMe Internal SSD - Newegg.com $120,$120,0,2
https://static.slickdealscdn.com/attachment/5/4/8/0/7/1/200x200/9880744.thumb,Newegg,"XPG SX8100 Series 4TB PCIe Gen3x4 M.2 2280, 3D TLC Internal Solid State Drive| $399.99 + Free Shipping",$399.99,4,4
https://static.slickdealscdn.com/attachment/3/3/8/2/5/3/0/200x200/9880129.thumb,,Dell Outlet XPS 13 9310 2 in 1 15% coupon,,23,19
https://static.slickdealscdn.com/attachment/1/0/2/3/4/9/6/200x200/9879715.thumb,Amazon,"AMD Ryzen 7 5800X 8-core, 16-Thread Unlocked Desktop Processor $449.99",$449.99,42,81
https://static.slickdealscdn.com/attachment/5/5/8/2/7/0/5/200x200/9880459.thumb,Dell Home & Office,"Dell Alienware M15 R4: FHD 300 Hz IPS, i7-10870H, 32GB DDR4, 512GB PCIe SSD, RTX 3080, TB3, Win10H @ $2116.80 /w Unique Signup Coupon","$2,116.80",6,20
https://static.slickdealscdn.com/attachment/3/5/6/6/4/4/200x200/9880231.thumb,Amazon,Aukey 104 Key LED Backlit Mechanical Keyboard with Red or Blue switches $29.99,$29.99,11,7
https://static.slickdealscdn.com/attachment/1/2/0/8/2/2/1/200x200/9879880.thumb,Amazon,"Mafiti Gaming Keyboard and Mouse Combo, Wired RGB Backlit Computer Keyboard with USB RGB Gaming Mouse Design for Windows PC Laptop Desktop Notebook - $16.49",$16.49,13,13
https://static.slickdealscdn.com/attachment/2/2/8/1/0/6/5/7/200x200/9879859.thumb,eBay,"Mophie Juice Pack Access 2,000mAh Battery Case Wireless for iPhone 11 Pro - Red $14.95 + Free Shipping",$14.95,11,4
https://static.slickdealscdn.com/attachment/2/7/3/5/3/5/1/3/200x200/9881050.thumb,Newegg,ASUS ROG (GT-AC2900) Dual-Band Wireless Gigabit Wi-Fi Gaming Router for $169.99+FS,$169.99,1,1
https://static.slickdealscdn.com/attachment/5/4/8/0/7/1/200x200/9880672.thumb,Newegg,XPG SPECTRIX D50 RGB Desktop Memory 16GB (2x8GB) DDR4 3600MHz CL18| $94.99 + Free Shipping,,0,0
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9878440.thumb,Newegg,H&R Block Tax Software (Key Card or Digital Download): Deluxe + State 2020,$17,64,70
https://static.slickdealscdn.com/attachment/5/6/4/7/4/1/200x200/9880711.thumb,Amazon,512GB XPG SX8200 Pro M.2 2280 PCIe NVMe SSD Solid State Drive $55 + FS $54.99,$54.99,13,31
https://static.slickdealscdn.com/attachment/2/4/7/3/8/4/9/1/200x200/9879724.thumb,,"Thinkpad X12 Detachable (12"", Intel) Tablet $1097.4","$1,097.40",6,15
https://static.slickdealscdn.com/attachment/2/2/8/8/7/6/7/9/200x200/9880291.thumb,Best Buy,Bitdefender Total Security 2021 - 5 Devices 1 Year $24.99,$24.99,1,0
https://static.slickdealscdn.com/attachment/2/5/1/5/4/6/8/200x200/9878473.thumb,,NETGEAR Nighthawk CM1100 DOCSIS 3.1 Cable Modem $119.99,$119.99,19,12
https://static.slickdealscdn.com/attachment/9/1/5/3/6/1/5/200x200/9880213.thumb,,Dell S2721DS 27 QHD Monitor FreeSync - $249.99,$249.99,0,7
https://static.slickdealscdn.com/attachment/3/1/9/3/8/4/200x200/9878848.thumb,Best Buy,"Lenovo - Yoga 7i 2-in-1 14"" Touch Screen Laptop - Intel Evo Platform Core i7 - 12GB Memory - 512GB Solid State Drive - Slate Grey $779.99",$779.99,25,38
https://static.slickdealscdn.com/attachment/5/4/8/0/7/1/200x200/9878614.thumb,Newegg,Intel Core i5-10400F Comet Lake 6-Core 2.9 GHz LGA 1200 Desktop Processor | $140.99 AC & More + Free Shipping,$140.99,7,11
https://static.slickdealscdn.com/attachment/3/9/3/6/7/2/200x200/9879343.thumb,Office Depot and OfficeMax,WD My Book 4TB External Hard Drive $79.99,$79.99,4,9
https://static.slickdealscdn.com/attachment/8/9/7/7/9/200x200/9876814.thumb,Costco Wholesale,Costco Members: In-Warehouse Hot Buys 2/27/21-3/7/21 while supplies last,,257,95
https://static.slickdealscdn.com/attachment/6/9/0/7/3/8/1/200x200/9878605.thumb,Amazon,2.2lbs 1.75mm Geeetech PETG Filament (various colors) from $16.78 + FSSS,$16.78,6,1
https://static.slickdealscdn.com/attachment/5/4/8/0/7/1/200x200/9878410.thumb,Newegg,NETGEAR 16-Port Gigabit Ethernet Unmanaged PoE Switch | $109.99 AC & More + Free Shipping,,5,4
https://static.slickdealscdn.com/attachment/5/4/8/0/7/1/200x200/9877792.thumb,Newegg,Sabrent 2TB Rocket Nvme PCIe 4.0 M.2 2280 Internal SSD Maximum Performance Solid State Drive (SB-ROCKET-NVMe4-2TB) - $297.49 & More,$297.49,14,13
https://static.slickdealscdn.com/attachment/3/4/2/9/3/0/8/200x200/9878140.thumb,Amazon,PICTEK RGB Gaming Keyboard with Multimedia Keys - $13.5 + FSSS,$13.50,8,1
https://static.slickdealscdn.com/attachment/1/5/6/3/1/3/2/7/200x200/9879064.thumb,,Intel 1TB SSD 3D3 QLC NAND M.2 2280 PCIe NVMe 3.0 x4 Internal Solid State Drive $94.99,$94.99,0,4
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9878455.thumb,Newegg,Super Flower Leadex III 750W 80+ Gold Full Modular Power Supply + $5GC @Newegg $110,$110,4,4
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9877993.thumb,Best Buy,1TB Crucial P5 NVMe SSD@BestBuy $110,$110,5,19
